LAT,LON,YEAR,MO,DY,rh2m,t2m,ws10m
8.5,76.25,2020,1,1,74.33,28.13,2.84
8.5,76.875,2020,1,1,80.08,26.88,2.13
8.5,77.5,2020,1,1,88.69,24.55,2.54
8.5,78.125,2020,1,1,87.09,26.45,3.45
8.5,78.75,2020,1,1,81.56,27.57,3.9
8.5,79.375,2020,1,1,80.69,27.82,3.7
8.5,80.0,2020,1,1,85.72,26.63,3.47
9.0,76.25,2020,1,1,73.89,28.33,2.73
9.0,76.875,2020,1,1,82.4,25.64,1.37
9.0,77.5,2020,1,1,88.68,24.47,2.39
9.0,78.125,2020,1,1,87.7,25.92,3.18
9.0,78.75,2020,1,1,85.24,27.0,4.08
9.0,79.375,2020,1,1,83.07,27.59,4.11
9.0,80.0,2020,1,1,85.93,26.89,3.74
9.5,76.25,2020,1,1,72.17,28.55,2.44
9.5,76.875,2020,1,1,84.43,24.34,0.96
9.5,77.5,2020,1,1,88.05,23.6,1.68
9.5,78.125,2020,1,1,86.43,25.62,3.19
9.5,78.75,2020,1,1,87.34,26.14,4.01
9.5,79.375,2020,1,1,84.71,27.31,4.71
9.5,80.0,2020,1,1,83.91,27.34,4.6
10.0,76.25,2020,1,1,73.97,28.06,1.95
10.0,76.875,2020,1,1,84.94,22.68,0.85
10.0,77.5,2020,1,1,89.2,22.09,1.71
10.0,78.125,2020,1,1,86.73,24.73,3.02
10.0,78.75,2020,1,1,88.4,25.39,3.65
10.0,79.375,2020,1,1,86.76,26.63,4.35
10.0,80.0,2020,1,1,84.31,27.25,4.82
10.5,76.25,2020,1,1,75.52,27.46,1.58
10.5,76.875,2020,1,1,83.47,23.62,1.83
10.5,77.5,2020,1,1,84.29,23.61,2.57
10.5,78.125,2020,1,1,84.12,24.86,2.94
10.5,78.75,2020,1,1,87.47,25.12,3.34
10.5,79.375,2020,1,1,88.25,25.94,3.55
10.5,80.0,2020,1,1,85.58,26.87,4.29
11.0,76.25,2020,1,1,79.52,25.2,1.47
11.0,76.875,2020,1,1,84.19,23.29,2.44
11.0,77.5,2020,1,1,78.37,25.46,2.57
11.0,78.125,2020,1,1,79.96,25.38,3.01
11.0,78.75,2020,1,1,86.35,24.75,3.25
11.0,79.375,2020,1,1,88.47,25.59,3.17
11.0,80.0,2020,1,1,85.7,26.69,3.9
11.5,76.25,2020,1,1,83.32,22.83,1.23
11.5,76.875,2020,1,1,83.69,21.95,2.21
11.5,77.5,2020,1,1,77.75,24.71,1.93
11.5,78.125,2020,1,1,79.04,24.91,2.95
11.5,78.75,2020,1,1,86.25,24.02,3.2
11.5,79.375,2020,1,1,87.5,25.47,3.17
11.5,80.0,2020,1,1,85.0,26.64,3.83
12.0,76.25,2020,1,1,82.12,22.15,1.55
12.0,76.875,2020,1,1,79.76,22.47,2.35
12.0,77.5,2020,1,1,78.88,23.33,1.92
12.0,78.125,2020,1,1,80.19,23.91,2.98
12.0,78.75,2020,1,1,86.04,23.55,3.13
12.0,79.375,2020,1,1,87.02,25.09,3.13
12.0,80.0,2020,1,1,84.77,26.39,3.63
12.5,76.25,2020,1,1,79.11,21.87,1.99
12.5,76.875,2020,1,1,77.11,23.07,2.47
12.5,77.5,2020,1,1,76.6,23.33,3.07
12.5,78.125,2020,1,1,80.09,23.19,3.46
12.5,78.75,2020,1,1,84.87,23.51,3.24
12.5,79.375,2020,1,1,88.48,24.34,3.07
12.5,80.0,2020,1,1,85.42,26.0,3.38
13.0,76.25,2020,1,1,78.01,21.63,2.38
13.0,76.875,2020,1,1,75.1,22.83,2.52
13.0,77.5,2020,1,1,74.47,22.9,3.41
13.0,78.125,2020,1,1,80.0,22.34,3.92
