year,mo,dy,t2m,rh2m,ws10m
2020,4,23,31.19,70.75,3.78
2020,4,25,31.17,72.3,5.67
2020,4,25,31.12,72.7,5.26
2020,4,25,31.27,70.83,5.07
2020,5,2,31.03,70.77,2.78
2020,5,2,31.33,70.34,3.73
2020,5,4,31.19,70.12,3.71
2020,5,6,31.21,73.55,5.12
2020,5,6,31.35,72.0,4.66
2020,5,6,31.17,73.09,4.58
2020,5,6,31.08,73.05,4.64
2020,5,6,31.24,70.44,4.65
2020,5,7,31.21,71.19,5.16
2020,5,7,31.45,70.6,5.19
2020,5,7,31.38,71.03,5.14
2020,5,8,31.33,70.94,4.24
2020,5,8,31.27,71.96,4.31
2020,5,8,31.31,71.6,4.43
2020,5,9,31.13,71.23,3.63
2020,5,9,31.16,72.21,3.89
2020,5,9,31.3,71.32,4.05
2020,5,10,31.09,70.94,3.17
2020,5,10,31.07,71.33,3.36
2020,5,10,31.2,70.0,3.53
2020,5,15,31.11,72.83,2.76
2020,5,15,31.08,71.72,2.54
2020,5,15,31.21,71.72,3.49
2020,5,15,31.1,73.01,4.05
2020,5,16,31.4,74.44,4.63
2020,5,17,31.25,72.62,6.43
2020,5,17,31.4,74.31,5.43
2020,5,17,31.2,74.92,6.03
2020,5,17,31.47,73.08,4.36
2020,5,18,31.25,71.49,3.1
2020,5,19,31.29,70.99,7.62
2020,5,20,31.3,71.52,8.35
2020,5,20,31.11,75.24,8.52
2020,5,20,31.57,71.5,7.52
2020,5,23,31.14,74.69,5.63
2020,5,23,31.59,71.43,5.11
2020,5,23,31.63,71.21,5.25
2020,5,23,31.52,71.9,5.12
2020,5,23,31.4,72.43,4.57
2020,5,23,31.38,72.38,4.1
2020,5,24,31.38,75.39,6.64
2020,5,24,31.04,79.26,5.99
2020,5,24,31.95,71.87,4.24
2020,5,24,31.16,78.13,4.1
2020,5,24,31.34,76.39,3.95
2020,5,24,31.23,77.44,4.18
2020,5,24,31.11,77.93,4.14
2020,5,24,31.41,72.4,4.12
2020,5,25,31.57,72.71,4.84
2020,5,25,31.03,78.31,4.61
2020,5,25,31.35,75.69,4.17
2020,5,25,31.36,76.37,4.32
2020,5,25,31.05,78.38,4.46
2020,5,26,31.61,71.59,5.09
2020,5,26,31.09,76.14,5.14
2020,5,26,31.46,73.57,4.75
