LAT,LON,MO,DY,T2M,RH2M,WS10M
76.25,2025,1,1,29.16,85.57,6.85
76.25,2025,1,1,29.16,85.57,6.68
76.25,2025,1,1,29.16,85.57,6.05
76.25,2025,1,1,29.16,85.57,4.73
76.25,2025,1,1,29.16,85.57,4.04
76.25,2025,1,1,29.16,85.57,3.01
76.25,2025,1,1,29.16,85.57,2.53
76.25,2025,1,1,29.16,85.57,3.6
76.25,2025,1,1,29.16,85.57,4.37
76.25,2025,1,1,29.16,85.57,4.47
76.25,2025,1,1,29.16,85.57,4.43
76.25,2025,1,1,29.16,84.31,6.85
76.25,2025,1,1,29.16,84.31,6.68
76.25,2025,1,1,29.16,84.31,6.05
76.25,2025,1,1,29.16,84.31,4.73
76.25,2025,1,1,29.16,84.31,4.04
76.25,2025,1,1,29.16,84.31,3.01
76.25,2025,1,1,29.16,84.31,2.53
76.25,2025,1,1,29.16,84.31,3.6
76.25,2025,1,1,29.16,84.31,4.37
76.25,2025,1,1,29.16,84.31,4.47
76.25,2025,1,1,29.16,84.31,4.43
76.25,2025,1,1,29.16,84.38,6.85
76.25,2025,1,1,29.16,84.38,6.68
76.25,2025,1,1,29.16,84.38,6.05
76.25,2025,1,1,29.16,84.38,4.73
76.25,2025,1,1,29.16,84.38,4.04
76.25,2025,1,1,29.16,84.38,3.01
76.25,2025,1,1,29.16,84.38,2.53
76.25,2025,1,1,29.16,84.38,3.6
76.25,2025,1,1,29.16,84.38,4.37
76.25,2025,1,1,29.16,84.38,4.47
76.25,2025,1,1,29.16,84.38,4.43
76.25,2025,1,1,29.16,86.86,6.85
76.25,2025,1,1,29.16,86.86,6.68
76.25,2025,1,1,29.16,86.86,6.05
76.25,2025,1,1,29.16,86.86,4.73
76.25,2025,1,1,29.16,86.86,4.04
76.25,2025,1,1,29.16,86.86,3.01
76.25,2025,1,1,29.16,86.86,2.53
76.25,2025,1,1,29.16,86.86,3.6
76.25,2025,1,1,29.16,86.86,4.37
76.25,2025,1,1,29.16,86.86,4.47
76.25,2025,1,1,29.16,86.86,4.43
76.25,2025,1,1,29.16,88.32,6.85
76.25,2025,1,1,29.16,88.32,6.68
76.25,2025,1,1,29.16,88.32,6.05
76.25,2025,1,1,29.16,88.32,4.73
76.25,2025,1,1,29.16,88.32,4.04
76.25,2025,1,1,29.16,88.32,3.01
76.25,2025,1,1,29.16,88.32,2.53
76.25,2025,1,1,29.16,88.32,3.6
76.25,2025,1,1,29.16,88.32,4.37
76.25,2025,1,1,29.16,88.32,4.47
76.25,2025,1,1,29.16,88.32,4.43
76.25,2025,1,1,29.16,89.08,6.85
76.25,2025,1,1,29.16,89.08,6.68
76.25,2025,1,1,29.16,89.08,6.05
